Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.05,-0.14,-0.09,-0.05,-0.09,-0.12,-0.13,-0.07,-0.11,-0.24,-0.24,-0.1
1881,-0.08,-0.06,0.05,0.07,0.03,-0.12,-0.06,-0.05,-0.16,-0.29,-0.26,-0.03
1882,0.09,0.02,0,-0.15,-0.14,-0.14,-0.12,-0.08,-0.1,-0.23,-0.14,-0.16
1883,-0.27,-0.35,-0.18,-0.2,-0.16,0,-0.1,-0.11,-0.18,-0.22,-0.24,-0.13
1884,-0.22,-0.18,-0.28,-0.27,-0.22,-0.25,-0.32,-0.28,-0.28,-0.27,-0.34,-0.24
1885,-0.44,-0.29,-0.25,-0.28,-0.3,-0.31,-0.25,-0.28,-0.26,-0.19,-0.13,0.02
1886,-0.17,-0.31,-0.28,-0.18,-0.18,-0.24,-0.2,-0.27,-0.27,-0.31,-0.27,-0.16
1887,-0.52,-0.46,-0.22,-0.25,-0.25,-0.24,-0.24,-0.31,-0.22,-0.32,-0.18,-0.16
1888,-0.32,-0.27,-0.28,-0.11,-0.14,-0.11,-0.11,-0.17,-0.09,0.04,-0.03,0.08
1889,-0.02,0.04,0.15,0.09,-0.01,-0.07,-0.12,-0.14,-0.23,-0.24,-0.28,-0.14
1890,-0.32,-0.33,-0.31,-0.27,-0.38,-0.29,-0.27,-0.38,-0.41,-0.35,-0.43,-0.28
1891,-0.37,-0.54,-0.23,-0.24,-0.17,-0.19,-0.18,-0.21,-0.15,-0.28,-0.38,-0.05
1892,-0.22,-0.12,-0.24,-0.32,-0.26,-0.29,-0.38,-0.33,-0.21,-0.27,-0.46,-0.43
1893,-0.7,-0.61,-0.22,-0.34,-0.31,-0.26,-0.2,-0.3,-0.22,-0.24,-0.18,-0.24
1894,-0.4,-0.23,-0.27,-0.38,-0.33,-0.37,-0.28,-0.29,-0.26,-0.28,-0.33,-0.24
1895,-0.42,-0.39,-0.31,-0.18,-0.27,-0.28,-0.2,-0.23,-0.16,-0.11,-0.17,-0.11
1896,-0.14,-0.11,-0.21,-0.23,-0.12,-0.09,-0.03,-0.03,-0.04,0.02,-0.15,0.07
1897,-0.12,-0.09,-0.11,0.06,0.01,-0.07,-0.01,-0.08,-0.04,-0.17,-0.24,-0.23
1898,0,-0.27,-0.64,-0.37,-0.27,-0.19,-0.23,-0.24,-0.22,-0.38,-0.3,-0.1
1899,-0.13,-0.32,-0.31,-0.18,-0.17,-0.26,-0.17,-0.09,-0.04,-0.09,0.11,-0.18
